timestamp,milivolt,miliamp,miliwatt
1651299094,11850,466,5522.1
1651299095,11850,466,5522.1
1651299096,11850,465,5510.25
1651299097,11860,466,5526.76
1651299098,11860,466,5526.76
1651299099,11860,466,5526.76
1651299100,11860,467,5538.62
1651299101,11850,466,5522.1
1651299102,11860,467,5538.62
1651299103,11850,467,5533.95
1651299104,11850,466,5522.1
1651299105,11850,466,5522.1
1651299106,11850,467,5533.95
1651299107,11850,466,5522.1
1651299108,11860,466,5526.76
1651299109,11850,467,5533.95
1651299110,11860,466,5526.76
1651299111,11860,467,5538.62
1651299112,11860,465,5514.9
1651299113,11850,468,5545.8
1651299114,11850,467,5533.95
1651299115,11860,466,5526.76
1651299116,11860,467,5538.62
1651299117,11860,467,5538.62
1651299118,11860,466,5526.76
1651299119,11850,466,5522.1
1651299120,11850,466,5522.1
1651299121,11860,466,5526.76
1651299122,11860,465,5514.9
1651299123,11860,466,5526.76
1651299124,11850,466,5522.1
1651299125,11850,466,5522.1
1651299126,11860,465,5514.9
1651299127,11860,466,5526.76
1651299128,11850,466,5522.1
1651299129,11860,465,5514.9
1651299130,11850,466,5522.1
1651299131,11860,467,5538.62
1651299132,11850,466,5522.1
1651299133,11850,466,5522.1
1651299134,11850,467,5533.95
1651299135,11860,467,5538.62
1651299136,11860,467,5538.62
1651299137,11850,466,5522.1
1651299138,11860,467,5538.62
1651299139,11860,466,5526.76
1651299140,11860,465,5514.9
1651299141,11860,466,5526.76
1651299142,11860,467,5538.62
1651299143,11850,466,5522.1
1651299144,11860,466,5526.76
1651299145,11850,467,5533.95
1651299146,11850,467,5533.95
1651299147,11860,466,5526.76
1651299148,11860,466,5526.76
1651299149,11850,465,5510.25
1651299150,11860,467,5538.62
1651299151,11860,466,5526.76
1651299152,11850,465,5510.25
1651299153,11850,467,5533.95
1651299154,11850,466,5522.1
1651299155,11850,466,5522.1
1651299156,11850,466,5522.1
1651299157,11860,467,5538.62
1651299158,11850,465,5510.25
1651299159,11860,466,5526.76
1651299160,11860,467,5538.62
1651299161,11850,466,5522.1
1651299162,11860,467,5538.62
1651299163,11850,467,5533.95
1651299164,11850,465,5510.25
1651299165,11860,467,5538.62
1651299166,11860,466,5526.76
1651299167,11860,465,5514.9
1651299168,11860,466,5526.76
1651299169,11860,466,5526.76
1651299170,11860,466,5526.76
1651299171,11860,466,5526.76
1651299172,11860,465,5514.9
1651299173,11850,466,5522.1
1651299174,11860,467,5538.62
1651299175,11860,466,5526.76
1651299176,11860,466,5526.76
1651299177,11850,470,5569.5
1651299178,11850,470,5569.5
1651299179,11850,471,5581.35
1651299180,11850,471,5581.35
1651299181,11850,470,5569.5
1651299182,11850,471,5581.35
1651299183,11850,471,5581.35
1651299184,11850,472,5593.2
1651299185,11850,471,5581.35
1651299186,11860,470,5574.2
1651299187,11860,471,5586.06
1651299188,11850,471,5581.35
1651299189,11850,470,5569.5
1651299190,11850,471,5581.35
1651299191,11850,471,5581.35
1651299192,11850,471,5581.35
1651299193,11850,472,5593.2
1651299194,11850,470,5569.5
1651299195,11850,470,5569.5
1651299196,11850,471,5581.35
1651299197,11860,470,5574.2
1651299198,11860,471,5586.06
1651299199,11860,472,5597.92
1651299200,11860,470,5574.2
1651299201,11860,471,5586.06
1651299202,11860,470,5574.2
1651299203,11860,471,5586.06
1651299204,11850,471,5581.35
1651299205,11850,472,5593.2
1651299206,11860,470,5574.2
1651299207,11850,471,5581.35
1651299208,11850,471,5581.35
1651299209,11850,472,5593.2
1651299210,11850,471,5581.35
1651299211,11850,471,5581.35
1651299212,11860,470,5574.2
1651299213,11850,472,5593.2
1651299214,11850,471,5581.35
1651299215,11850,471,5581.35
1651299216,11850,471,5581.35
1651299217,11850,471,5581.35
1651299218,11850,471,5581.35
1651299219,11860,471,5586.06
1651299220,11850,471,5581.35
1651299221,11850,471,5581.35
1651299222,11850,472,5593.2
1651299223,11850,471,5581.35
1651299224,11850,472,5593.2
1651299225,11850,471,5581.35
1651299226,11850,471,5581.35
1651299227,11850,472,5593.2
1651299228,11850,471,5581.35
1651299229,11850,471,5581.35
1651299230,11850,471,5581.35
1651299231,11850,471,5581.35
1651299232,11850,471,5581.35
1651299233,11850,471,5581.35
1651299234,11850,471,5581.35
1651299235,11850,472,5593.2
1651299236,11850,472,5593.2
1651299237,11860,466,5526.76
1651299238,11850,466,5522.1
1651299239,11860,466,5526.76
1651299240,11860,467,5538.62
1651299241,11860,465,5514.9
1651299242,11860,466,5526.76
1651299243,11860,466,5526.76
1651299244,11860,466,5526.76
1651299245,11860,466,5526.76
1651299246,11860,466,5526.76
1651299247,11860,468,5550.48
1651299248,11860,464,5503.04
1651299249,11860,465,5514.9
1651299250,11860,466,5526.76
1651299251,11860,466,5526.76
1651299252,11860,464,5503.04
1651299253,11860,465,5514.9
1651299254,11860,466,5526.76
1651299255,11860,467,5538.62
1651299256,11860,465,5514.9
1651299257,11860,465,5514.9
1651299258,11860,466,5526.76
1651299259,11860,466,5526.76
1651299260,11860,466,5526.76
1651299261,11860,466,5526.76
1651299262,11860,465,5514.9
1651299263,11850,465,5510.25
1651299264,11860,468,5550.48
1651299265,11860,467,5538.62
1651299266,11860,465,5514.9
1651299267,11860,465,5514.9
1651299268,11860,465,5514.9
1651299269,11860,465,5514.9
1651299270,11860,466,5526.76
1651299271,11860,465,5514.9
1651299272,11860,466,5526.76
1651299273,11860,467,5538.62
1651299274,11860,466,5526.76
1651299275,11850,465,5510.25
1651299276,11860,466,5526.76
1651299277,11860,466,5526.76
1651299278,11860,466,5526.76
1651299279,11860,466,5526.76
1651299280,11850,466,5522.1
1651299281,11860,466,5526.76
1651299282,11860,465,5514.9
1651299283,11860,466,5526.76
1651299284,11860,466,5526.76
1651299285,11860,465,5514.9
1651299286,11860,466,5526.76
1651299287,11860,466,5526.76
1651299288,11860,465,5514.9
1651299289,11860,466,5526.76
1651299290,11850,465,5510.25
1651299291,11860,466,5526.76
1651299292,11850,465,5510.25
1651299293,11860,467,5538.62
1651299294,11850,466,5522.1
1651299295,11860,467,5538.62
1651299296,11850,466,5522.1
1651299297,11860,466,5526.76
1651299298,11860,466,5526.76
1651299299,11860,466,5526.76
1651299300,11860,465,5514.9
1651299301,11860,465,5514.9
1651299302,11860,464,5503.04
1651299303,11860,463,5491.18
1651299304,11860,466,5526.76
1651299305,11850,468,5545.8
1651299306,11860,465,5514.9
1651299307,11860,465,5514.9
1651299308,11860,465,5514.9
1651299309,11860,464,5503.04
1651299310,11860,466,5526.76
1651299311,11860,465,5514.9
1651299312,11860,464,5503.04
1651299313,11860,464,5503.04
1651299314,11860,465,5514.9
1651299315,11860,465,5514.9
1651299316,11860,465,5514.9
1651299317,11860,465,5514.9
1651299318,11860,465,5514.9
1651299319,11860,465,5514.9
1651299320,11860,465,5514.9
1651299321,11860,465,5514.9
1651299322,11860,466,5526.76
1651299323,11860,465,5514.9
1651299324,11860,465,5514.9
1651299325,11860,466,5526.76
1651299326,11860,465,5514.9
1651299327,11860,464,5503.04
1651299328,11860,466,5526.76
1651299329,11860,466,5526.76
1651299330,11860,465,5514.9
1651299331,11860,466,5526.76
1651299332,11860,465,5514.9
1651299333,11860,466,5526.76
1651299334,11860,466,5526.76
1651299335,11860,464,5503.04
1651299336,11850,464,5498.4
1651299337,11860,466,5526.76
1651299338,11860,465,5514.9
1651299339,11850,465,5510.25
1651299340,11860,466,5526.76
1651299341,11860,465,5514.9
1651299342,11860,465,5514.9
1651299343,11860,463,5491.18
1651299344,11860,464,5503.04
1651299345,11850,465,5510.25
1651299346,11860,465,5514.9
1651299347,11860,465,5514.9
1651299348,11860,465,5514.9
1651299349,11860,466,5526.76
1651299350,11860,464,5503.04
1651299351,11860,465,5514.9
1651299352,11860,465,5514.9
1651299353,11860,465,5514.9
1651299354,11860,465,5514.9
1651299355,11860,465,5514.9
1651299356,11860,465,5514.9
1651299357,11850,468,5545.8
1651299358,11860,464,5503.04
1651299359,11860,466,5526.76
1651299360,11850,464,5498.4
1651299361,11860,464,5503.04
1651299362,11860,465,5514.9
1651299363,11860,465,5514.9
1651299364,11860,464,5503.04
1651299365,11860,463,5491.18
1651299366,11860,464,5503.04
1651299367,11850,464,5498.4
1651299368,11860,464,5503.04
1651299369,11860,464,5503.04
1651299370,11860,465,5514.9
1651299371,11860,464,5503.04
1651299372,11860,466,5526.76
1651299373,11860,464,5503.04
1651299374,11860,465,5514.9
1651299375,11860,464,5503.04
1651299376,11860,465,5514.9
1651299377,11860,466,5526.76
1651299378,11850,464,5498.4
1651299379,11850,465,5510.25
1651299380,11850,464,5498.4
1651299381,11850,465,5510.25
1651299382,11850,465,5510.25
1651299383,11860,466,5526.76
1651299384,11860,465,5514.9
1651299385,11860,464,5503.04
1651299386,11860,465,5514.9
1651299387,11860,465,5514.9
1651299388,11860,465,5514.9
1651299389,11860,466,5526.76
1651299390,11860,464,5503.04
1651299391,11860,465,5514.9
1651299392,11860,465,5514.9
1651299394,11860,464,5503.04
1651299394,11860,464,5503.04
1651299396,11860,464,5503.04
1651299397,11860,465,5514.9
1651299398,11850,465,5510.25
1651299399,11860,466,5526.76
1651299400,11860,465,5514.9
1651299401,11850,466,5522.1
1651299402,11860,464,5503.04
1651299403,11860,465,5514.9
1651299404,11860,464,5503.04
1651299405,11860,465,5514.9
1651299406,11860,466,5526.76
1651299407,11860,465,5514.9
1651299408,11860,464,5503.04
1651299409,11860,466,5526.76
1651299410,11860,464,5503.04
1651299411,11860,464,5503.04
1651299412,11850,465,5510.25
1651299413,11860,464,5503.04
1651299414,11860,463,5491.18
1651299415,11860,465,5514.9
1651299416,11860,465,5514.9
1651299417,11850,465,5510.25
1651299418,11860,465,5514.9
1651299419,11860,469,5562.34
1651299420,11850,470,5569.5
1651299421,11850,469,5557.65
1651299422,11860,470,5574.2
1651299423,11850,472,5593.2
1651299424,11850,471,5581.35
1651299425,11850,471,5581.35
1651299426,11850,469,5557.65
1651299427,11850,470,5569.5
1651299428,11850,470,5569.5
1651299429,11850,469,5557.65
1651299430,11850,469,5557.65
1651299431,11850,470,5569.5
1651299432,11860,470,5574.2
1651299433,11850,469,5557.65
1651299434,11850,468,5545.8
1651299435,11850,469,5557.65
1651299436,11850,470,5569.5
1651299437,11850,469,5557.65
1651299438,11850,469,5557.65
1651299439,11850,470,5569.5
1651299440,11850,470,5569.5
1651299441,11860,470,5574.2
1651299442,11850,469,5557.65
1651299443,11860,468,5550.48
1651299444,11860,470,5574.2
1651299445,11850,469,5557.65
1651299446,11850,469,5557.65
1651299447,11850,469,5557.65
1651299448,11850,469,5557.65
1651299449,11850,470,5569.5
1651299450,11850,469,5557.65
1651299451,11850,469,5557.65
1651299452,11860,470,5574.2
1651299453,11850,469,5557.65
1651299454,11860,469,5562.34
1651299455,11850,472,5593.2
1651299456,11860,469,5562.34
1651299457,11860,469,5562.34
1651299458,11860,468,5550.48
1651299459,11860,468,5550.48
1651299460,11860,470,5574.2
1651299461,11860,470,5574.2
1651299462,11860,470,5574.2
1651299463,11860,469,5562.34
1651299464,11850,469,5557.65
1651299465,11850,469,5557.65
1651299466,11860,469,5562.34
1651299467,11860,469,5562.34
1651299468,11860,470,5574.2
1651299469,11850,469,5557.65
1651299470,11850,468,5545.8
1651299471,11860,468,5550.48
1651299472,11860,468,5550.48
1651299473,11860,469,5562.34
1651299474,11860,468,5550.48
1651299475,11860,469,5562.34
1651299476,11860,470,5574.2
1651299477,11860,469,5562.34
1651299478,11860,469,5562.34
1651299479,11860,465,5514.9
1651299480,11860,466,5526.76
1651299481,11850,465,5510.25
1651299482,11860,465,5514.9
1651299483,11860,465,5514.9
1651299484,11860,464,5503.04
1651299485,11860,465,5514.9
1651299486,11860,464,5503.04
1651299487,11860,465,5514.9
1651299488,11860,465,5514.9
1651299489,11860,464,5503.04
1651299490,11860,464,5503.04
1651299491,11860,465,5514.9
1651299492,11860,465,5514.9
1651299493,11860,465,5514.9
1651299494,11860,465,5514.9
1651299495,11860,465,5514.9
1651299496,11860,466,5526.76
1651299497,11860,465,5514.9
1651299498,11860,466,5526.76
1651299499,11860,466,5526.76
1651299500,11860,466,5526.76
1651299501,11860,465,5514.9
1651299502,11860,465,5514.9
1651299503,11860,465,5514.9
1651299504,11860,466,5526.76
1651299505,11860,468,5550.48
1651299506,11860,465,5514.9
1651299507,11860,466,5526.76
1651299508,11850,466,5522.1
1651299509,11860,465,5514.9
1651299510,11860,464,5503.04
1651299511,11850,465,5510.25
1651299512,11860,466,5526.76
1651299513,11860,465,5514.9
1651299514,11860,465,5514.9
1651299515,11860,466,5526.76
1651299516,11860,465,5514.9
1651299517,11860,466,5526.76
1651299518,11860,466,5526.76
1651299519,11860,466,5526.76
1651299520,11860,465,5514.9
1651299521,11860,464,5503.04
1651299522,11860,465,5514.9
1651299523,11860,465,5514.9
1651299524,11860,465,5514.9
1651299525,11860,465,5514.9
1651299526,11860,466,5526.76
1651299527,11850,466,5522.1
1651299528,11860,466,5526.76
1651299529,11850,465,5510.25
1651299530,11850,466,5522.1
1651299531,11850,466,5522.1
1651299532,11860,465,5514.9
1651299533,11860,465,5514.9
1651299534,11850,466,5522.1
1651299535,11860,466,5526.76
1651299536,11860,465,5514.9
1651299537,11860,465,5514.9
1651299538,11860,466,5526.76
1651299539,11860,472,5597.92
1651299540,11860,461,5467.46
1651299541,11860,461,5467.46
1651299542,11860,460,5455.6
1651299543,11860,461,5467.46
1651299544,11860,461,5467.46
1651299545,11860,462,5479.32
1651299546,11860,462,5479.32
1651299547,11860,461,5467.46
1651299548,11860,460,5455.6
1651299549,11860,461,5467.46
1651299550,11860,460,5455.6
1651299551,11860,462,5479.32
1651299552,11860,462,5479.32
1651299553,11860,461,5467.46
1651299554,11860,461,5467.46
1651299555,11860,461,5467.46
1651299556,11860,460,5455.6
1651299557,11860,462,5479.32
1651299558,11860,460,5455.6
1651299559,11860,460,5455.6
1651299560,11860,461,5467.46
1651299561,11860,461,5467.46
1651299562,11860,462,5479.32
1651299563,11860,461,5467.46
1651299564,11860,462,5479.32
1651299565,11860,464,5503.04
1651299566,11860,461,5467.46
1651299567,11860,461,5467.46
1651299568,11860,460,5455.6
1651299569,11860,462,5479.32
1651299570,11860,461,5467.46
1651299571,11860,460,5455.6
1651299572,11860,461,5467.46
1651299573,11860,462,5479.32
1651299574,11860,461,5467.46
1651299575,11860,462,5479.32
1651299576,11860,461,5467.46
1651299577,11860,461,5467.46
1651299578,11860,460,5455.6
1651299579,11860,459,5443.74
1651299580,11860,461,5467.46
1651299581,11860,462,5479.32
1651299582,11860,465,5514.9
1651299583,11860,460,5455.6
1651299584,11860,460,5455.6
1651299585,11860,460,5455.6
1651299586,11860,460,5455.6
1651299587,11860,463,5491.18
